feature,abs_corr
rv_12bar_current,0.5426617992380636
rv_3bar_current,0.3893748437543201
rv_zscore_24h,0.28787571977175935
rv_percentile_30d,0.25962049712986995
is_high_regime,0.20662573109062632
rv_change_4h,0.2059381574227768
high_regime_duration,0.16174626861102018
is_asia_session,0.11841645930096784
volume_ratio_7d,0.1040279957009552
rv_change_1h,0.09914514726799528
funding_abs_zscore,0.06593653824802477
is_ny_session,0.06490604917683154
hour,0.058683493281620924
is_low_regime,0.05236155330206783
abs_return_1h,0.044827254411123535
oi_change_4h,0.043389390585743384
oi_change_1h,0.04324853402316042
oi_abs_change_4h,0.04216322972565213
low_regime_duration,0.03839582744558735
abs_return_4h,0.0323110694433513
funding_zscore,0.02551233885659139
volume_acceleration,0.02012607292412289
range_4h,0.006818265029027349
rv_acceleration,0.0039965251437115165
term_slope,
term_inverted,
